"hhid","dist_road2","dist_popcenter2","dist_market","dist_border2","dist_admctr","af_bio_1","af_bio_8","af_bio_12","af_bio_13","af_bio_16","popdensity","hybrid_V8","ssa_aez09","afmnslp_pct","srtm_1k","twi","sq1","sq2","sq3","sq4","sq5","sq6","sq7","anntot_avg","wetQ_avg","wetQ_avgstart","h2018_tot","h2018_wetQ","h2018_wetQstart","qstartavg","ndvi_avg","ndvi_max","h2018_ndvi_avg","h2018_ndvi_max","lat_dd_mod","lon_dd_mod"
99045,7.2,51.9,60.3,195,51.9,266,254,2413,367,1049,113,26,314,4,135,20,2,2,1,1,1,1,1,2193,1003,19,2000,771,23,22,0.366,0.456,0.409,0.502,5.88582149476,8.77605131388
99046,7.2,51.9,60.3,195,51.9,266,254,2413,367,1049,113,26,314,4,135,20,2,2,1,1,1,1,1,2193,1003,19,2000,771,23,22,0.366,0.456,0.409,0.502,5.88582149476,8.77605131388
99048,7.2,51.9,60.3,195,51.9,266,254,2413,367,1049,113,26,314,4,135,20,2,2,1,1,1,1,1,2193,1003,19,2000,771,23,22,0.366,0.456,0.409,0.502,5.88582149476,8.77605131388
99051,1.1,2.9,3.1,230.4,2.9,270,259,2437,364,1059,172,20,314,5,40,12,3,2,1,1,1,1,1,2211,1001,20,2135,855,23,25,0.345,0.453,0.35,0.432,5.79919980045,8.71422904499
99052,1.1,2.9,3.1,230.4,2.9,270,259,2437,364,1059,172,20,314,5,40,12,3,2,1,1,1,1,1,2211,1001,20,2135,855,23,25,0.345,0.453,0.35,0.432,5.79919980045,8.71422904499
99053,1.1,2.9,3.1,230.4,2.9,270,259,2437,364,1059,172,20,314,5,40,12,3,2,1,1,1,1,1,2211,1001,20,2135,855,23,25,0.345,0.453,0.35,0.432,5.79919980045,8.71422904499
99054,1.1,2.9,3.1,230.4,2.9,270,259,2437,364,1059,172,20,314,5,40,12,3,2,1,1,1,1,1,2211,1001,20,2135,855,23,25,0.345,0.453,0.35,0.432,5.79919980045,8.71422904499
99055,1.1,2.9,3.1,230.4,2.9,270,259,2437,364,1059,172,20,314,5,40,12,3,2,1,1,1,1,1,2211,1001,20,2135,855,23,25,0.345,0.453,0.35,0.432,5.79919980045,8.71422904499
99056,1.1,2.9,3.1,230.4,2.9,270,259,2437,364,1059,172,20,314,5,40,12,3,2,1,1,1,1,1,2211,1001,20,2135,855,23,25,0.345,0.453,0.35,0.432,5.79919980045,8.71422904499
99057,1.1,2.9,3.1,230.4,2.9,270,259,2437,364,1059,172,20,314,5,40,12,3,2,1,1,1,1,1,2211,1001,20,2135,855,23,25,0.345,0.453,0.35,0.432,5.79919980045,8.71422904499
